Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,ThreadUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALWAYS_TRUE_PREDICATE
commons-lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.mutable,PrintAtomicVsMutable,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableInt
commons-lang,org.apache.commons.lang3.mutable,MutableDoubleTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableDouble
commons-lang,org.apache.commons.lang3.mutable,MutableShortTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableShort
commons-lang,org.apache.commons.lang3.mutable,MutableBooleanTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableBoolean
commons-lang,org.apache.commons.lang3.mutable,MutableLongTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableLong
commons-lang,org.apache.commons.lang3.mutable,MutableFloatTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableFloat
commons-lang,org.apache.commons.lang3.mutable,MutableByteTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableByte
commons-lang,org.apache.commons.lang3.mutable,MutableIntTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableInt
commons-lang,org.apache.commons.lang3.mutable,MutableObjectTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableObject
commons-lang,org.apache.commons.lang3.tuple,ImmutablePairTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.tuple.ImmutablePair
commons-lang,org.apache.commons.lang3.tuple,ImmutablePairTest,Law of Demeter violation,The tool detected the smell in this method (testNullPairKey) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.Pair.getKey; org.apache.commons.lang3.tuple.ImmutablePair.nullPair
commons-lang,org.apache.commons.lang3.tuple,ImmutablePairTest,Law of Demeter violation,The tool detected the smell in this method (testNullPairLeft) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.ImmutablePair.nullPair; org.apache.commons.lang3.tuple.ImmutablePair.getLeft
commons-lang,org.apache.commons.lang3.tuple,ImmutablePairTest,Law of Demeter violation,The tool detected the smell in this method (testNullPairRight) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.ImmutablePair.getRight; org.apache.commons.lang3.tuple.ImmutablePair.nullPair
commons-lang,org.apache.commons.lang3.tuple,ImmutablePairTest,Law of Demeter violation,The tool detected the smell in this method (testNullPairValue) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.Pair.getValue; org.apache.commons.lang3.tuple.ImmutablePair.nullPair
commons-lang,org.apache.commons.lang3.tuple,MutablePairTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.tuple.MutablePair
commons-lang,org.apache.commons.lang3.tuple,ImmutableTripleTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.tuple.ImmutableTriple
commons-lang,org.apache.commons.lang3.tuple,ImmutableTripleTest,Law of Demeter violation,The tool detected the smell in this method (testNullTripleLeft) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.ImmutableTriple.getLeft; org.apache.commons.lang3.tuple.ImmutableTriple.nullTriple
commons-lang,org.apache.commons.lang3.tuple,ImmutableTripleTest,Law of Demeter violation,The tool detected the smell in this method (testNullTripleMiddle) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.ImmutableTriple.getMiddle; org.apache.commons.lang3.tuple.ImmutableTriple.nullTriple
commons-lang,org.apache.commons.lang3.tuple,ImmutableTripleTest,Law of Demeter violation,The tool detected the smell in this method (testNullTripleRight) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.tuple.ImmutableTriple.getRight; org.apache.commons.lang3.tuple.ImmutableTriple.nullTriple
commons-lang,org.apache.commons.lang3.tuple,MutableTripleTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.tuple.MutableTriple
commons-lang,org.apache.commons.lang3.tuple,Pair,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,MutableTriple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,MutablePair,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,ImmutableTriple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,ImmutablePair,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,Triple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.stream,Streams.ArrayCollector,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.stream,Streams.FailableStream,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.TestBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.InheritanceBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.GrandParentObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.ParentObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.ChildObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,ConstructorUtilsTest.TestBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,ConstructorUtilsTest.PublicInnerClass,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,FieldUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
commons-lang,org.apache.commons.lang3.reflect,AAAClass.TypeUtilsTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: stringComparable; uriComparable; intComparable; longComparable; wildcardComparable; uri; stringListArray
commons-lang,org.apache.commons.lang3.reflect,AAAClass.ClassWithSuperClassWithGenericType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,TypeUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WILDCARD_ALL
commons-lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect.testbed,StaticContainer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMMUTABLE_PUBLIC; mutablePublic
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 36
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testBiPredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableBiPredicate.truePredicate; org.apache.commons.lang3.function.FailableBiPredicate.negate
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testBiPredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableBiPredicate.falsePredicate; org.apache.commons.lang3.function.FailableBiPredicate.negate
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testDoublePredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableDoublePredicate.negate; org.apache.commons.lang3.function.FailableDoublePredicate.test
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testDoublePredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableDoublePredicate.negate; org.apache.commons.lang3.function.FailableDoublePredicate.test; org.apache.commons.lang3.function.FailableDoublePredicate.truePredicate
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testDoublePredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableDoublePredicate.negate; org.apache.commons.lang3.function.FailableDoublePredicate.test
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testDoublePredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableDoublePredicate.falsePredicate; org.apache.commons.lang3.function.FailableDoublePredicate.negate; org.apache.commons.lang3.function.FailableDoublePredicate.test
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Law of Demeter violation,The tool detected the smell in this method (testIntPredicateNegate) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.function.FailableIntPredicate.test; org.apache.commons.lang3.function.FailableIntPredicate.negate
