Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,ArrayUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_BOOLEAN_ARRAY; EMPTY_BOOLEAN_OBJECT_ARRAY; EMPTY_BYTE_ARRAY; EMPTY_BYTE_OBJECT_ARRAY; EMPTY_CHAR_ARRAY; EMPTY_CHARACTER_OBJECT_ARRAY; EMPTY_CLASS_ARRAY; EMPTY_DOUBLE_ARRAY; EMPTY_DOUBLE_OBJECT_ARRAY; EMPTY_FIELD_ARRAY; EMPTY_FLOAT_ARRAY; EMPTY_FLOAT_OBJECT_ARRAY; EMPTY_INT_ARRAY; EMPTY_INTEGER_OBJECT_ARRAY; EMPTY_LONG_ARRAY; EMPTY_LONG_OBJECT_ARRAY; EMPTY_METHOD_ARRAY; EMPTY_OBJECT_ARRAY; EMPTY_SHORT_ARRAY; EMPTY_SHORT_OBJECT_ARRAY; EMPTY_STRING_ARRAY; EMPTY_THROWABLE_ARRAY; EMPTY_TYPE_ARRAY; INDEX_NOT_FOUND
commons-lang,org.apache.commons.lang3,ArrayUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
commons-lang,org.apache.commons.lang3,SystemProperties,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AWT_TOOLKIT; FILE_ENCODING; FILE_SEPARATOR; JAVA_AWT_FONTS; JAVA_AWT_GRAPHICSENV; JAVA_AWT_HEADLESS; JAVA_AWT_PRINTERJOB; JAVA_CLASS_PATH; JAVA_CLASS_VERSION; JAVA_COMPILER; JAVA_ENDORSED_DIRS; JAVA_EXT_DIRS; JAVA_HOME; JAVA_IO_TMPDIR; JAVA_LIBRARY_PATH; JAVA_LOCALE_PROVIDERS; JAVA_RUNTIME_NAME; JAVA_RUNTIME_VERSION; JAVA_SPECIFICATION_NAME; JAVA_SPECIFICATION_VENDOR; JAVA_SPECIFICATION_VERSION; JAVA_UTIL_PREFS_PREFERENCES_FACTORY; JAVA_VENDOR; JAVA_VENDOR_URL; JAVA_VERSION; JAVA_VM_INFO; JAVA_VM_NAME; JAVA_VM_SPECIFICATION_NAME; JAVA_VM_SPECIFICATION_VENDOR; JAVA_VM_SPECIFICATION_VERSION; JAVA_VM_VENDOR; JAVA_VM_VERSION; LINE_SEPARATOR; OS_ARCH; OS_NAME; OS_VERSION; PATH_SEPARATOR; USER_COUNTRY; USER_DIR; USER_HOME; USER_LANGUAGE; USER_NAME; USER_REGION; USER_TIMEZONE
commons-lang,org.apache.commons.lang3,CharEncoding,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ISO_8859_1; US_ASCII; UTF_16; UTF_16BE; UTF_16LE; UTF_8
commons-lang,org.apache.commons.lang3,CharUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LF; CR; NUL
commons-lang,org.apache.commons.lang3,ObjectUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NULL
commons-lang,org.apache.commons.lang3,ObjectUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
commons-lang,org.apache.commons.lang3,ObjectUtils.Null,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,Streams.FailableStream,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,Streams.ArrayCollector,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,BooleanUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FALSE; NO; OFF; ON; TRUE; YES
commons-lang,org.apache.commons.lang3,ThreadUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALWAYS_TRUE_PREDICATE
commons-lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.tuple,Pair,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,MutableTriple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,MutablePair,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,ImmutableTriple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,ImmutablePair,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.tuple,Triple,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_ARRAY
commons-lang,org.apache.commons.lang3.stream,Streams.ArrayCollector,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.stream,Streams.FailableStream,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.TestBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.InheritanceBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.GrandParentObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.ParentObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,MethodUtilsTest.ChildObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,ConstructorUtilsTest.TestBean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,ConstructorUtilsTest.PublicInnerClass,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect,FieldUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
commons-lang,org.apache.commons.lang3.reflect,AAAClass.TypeUtilsTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: stringComparable; uriComparable; intComparable; longComparable; wildcardComparable; uri; stringListArray
commons-lang,org.apache.commons.lang3.reflect,AAAClass.ClassWithSuperClassWithGenericType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
